,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind speed,Cloudliness
0,Maple Creek,CA,1529261840,49.91,-109.46,68.14,47,5.5,24
1,Srednekolymsk,RU,1529261840,67.46,153.71,49.61,84,3.71,80
2,Ossora,RU,1529261840,59.24,163.07,40.88,90,3.71,0
3,Sangar,RU,1529261841,63.92,127.47,47.98,64,2.26,12
4,Asbe Teferi,ET,1529261841,9.08,40.87,60.41,81,2.59,0
5,Joensuu,FI,1529259600,62.6,29.76,69.8,52,3.36,0
6,Okhtyrka,UA,1529261841,50.31,34.89,74.53,34,9.86,0
7,Lyngseidet,NO,1529259600,69.58,20.21,50.0,71,20.8,0
8,Gainesville,US,1529260500,29.65,-82.33,91.4,55,6.93,40
9,Danielskuil,ZA,1529261842,-28.19,23.54,52.39,33,9.86,0
10,Kijang,ID,1529261842,0.9,104.63,83.08,95,8.63,64
11,Minab,IR,1529260200,27.15,57.07,87.8,79,13.87,0
12,Langxiang,CN,1529261842,46.95,128.87,59.51,79,3.15,68
13,Owerri,NG,1529261842,5.49,7.03,78.68,85,9.64,80
14,Sebeta,ET,1529261842,8.91,38.62,56.26,87,1.48,56
15,Kokopo,PG,1529261533,-4.34,152.27,77.06,100,1.14,68
16,Burnie,AU,1529261532,-41.05,145.91,51.13,100,18.03,0
17,Inuvik,CA,1529258400,68.36,-133.71,50.0,49,2.24,20
18,Honiara,SB,1529258400,-9.43,159.96,71.6,100,2.24,40
19,Aswan,EG,1529261843,24.09,32.9,96.41,15,7.96,0
20,Palmer,US,1529258160,61.6,-149.11,57.2,71,4.7,90
21,Severomuysk,RU,1529261843,56.17,113.57,47.81,80,1.92,92
22,Silver City,US,1529260500,32.77,-108.28,75.2,33,11.41,75
23,Bathsheba,BB,1529258400,13.22,-59.52,84.2,74,21.92,40
24,Floro,NO,1529259600,61.6,5.03,59.0,82,5.82,20
25,Inongo,CD,1529261544,-1.93,18.29,76.88,81,2.15,8
26,Naifaru,MV,1529261844,5.44,73.37,82.99,100,8.19,92
27,Kiruna,SE,1529259600,67.86,20.23,64.4,49,8.05,0
28,Egvekinot,RU,1529261531,66.32,-179.17,36.38,100,2.59,92
29,Makakilo City,US,1529258640,21.35,-158.09,80.6,61,8.05,1
30,Itarema,BR,1529261577,-2.92,-39.92,83.98,70,16.69,76
31,Kirensk,RU,1529261529,57.78,108.12,60.41,62,4.16,88
32,Sembe,CG,1529261844,1.65,14.58,77.06,81,4.16,0
33,Sao Lourenco do Sul,BR,1529258400,-31.37,-51.98,57.2,67,4.7,40
34,Kunashak,RU,1529260200,55.7,61.55,44.6,81,8.95,20
35,Vanavara,RU,1529261845,60.35,102.28,61.76,83,2.26,0
36,Nouadhibou,MR,1529258400,20.93,-17.03,69.8,73,21.92,0
37,Magadan,RU,1529258400,59.56,150.8,42.8,93,1.92,90
38,Verkhoyansk,RU,1529261845,67.55,133.39,47.26,100,2.59,88
39,Lindi,TZ,1529261845,-10.0,39.71,70.39,66,4.83,0
40,Inhambane,MZ,1529258400,-23.87,35.38,64.4,82,7.18,0
41,Acapulco,MX,1529257440,16.86,-99.88,82.4,74,8.05,90
42,Popondetta,PG,1529261846,-8.77,148.24,67.96,91,1.81,68
43,Barrow,US,1529260500,39.51,-90.4,95.0,62,11.41,1
44,Tromso,NO,1529259600,69.65,18.96,50.0,71,20.8,0
45,Vetlanda,SE,1529259600,57.43,15.09,62.6,59,9.17,0
46,Yamethin,MM,1529261846,20.43,96.14,75.71,92,9.42,36
47,Kortkeros,RU,1529260200,61.81,51.56,57.2,62,4.47,0
48,Port Blair,IN,1529261847,11.67,92.75,80.21,100,26.19,88
49,Luanda,AO,1529261791,-8.83,13.24,74.63,87,7.18,0
50,Voh,NC,1529261847,-20.95,164.69,72.01,100,3.04,92
51,Boyolangu,ID,1529261847,-8.09,111.9,67.16,90,1.14,0
52,Ixtapa,MX,1529257440,20.71,-105.21,86.0,66,9.17,40
53,Shimoda,JP,1529257620,34.7,138.93,68.0,77,5.82,75
54,Along,IN,1529261847,28.17,94.8,67.43,96,1.59,100
55,Puro,PH,1529261848,13.13,123.76,79.39,94,7.18,36
56,Katsuura,JP,1529261558,33.93,134.5,68.59,91,5.17,92
57,Xingyi,CN,1529261848,24.19,102.82,58.96,95,2.37,8
58,Nantucket,US,1529260500,41.28,-70.1,80.6,42,11.41,1
59,Waterloo,SL,1529258400,8.34,-13.07,77.0,69,11.41,75
60,Lake Charles,US,1529260920,30.23,-93.22,87.8,66,25.28,75
61,Inirida,CO,1529261848,3.87,-67.92,82.73,76,2.93,44
62,Tevriz,RU,1529261848,57.51,72.4,52.39,99,2.71,92
63,Manicore,BR,1529261849,-5.81,-61.3,86.96,57,4.38,68
64,Rumonge,BI,1529261849,-3.97,29.44,73.91,100,2.59,0
65,Petropavlovsk-Kamchatskiy,RU,1529258400,53.05,158.65,37.4,100,2.24,90
66,Puerto Ayora,EC,1529258400,-0.74,-90.35,80.6,57,13.87,75
67,Xining,CN,1529261849,36.62,101.77,51.41,100,2.93,92
68,Athabasca,CA,1529261749,54.72,-113.29,70.48,65,6.96,12
69,Khasan,RU,1529261849,42.43,130.64,56.53,100,2.37,88
70,Muros,ES,1529260200,42.77,-9.06,68.0,68,14.99,20
71,Erdenet,MN,1529261850,49.03,104.04,49.96,95,2.37,56
72,Sassandra,CI,1529261850,4.95,-6.09,77.06,100,15.68,92
73,Bayonet Point,US,1529260500,28.33,-82.68,91.4,55,6.93,40
74,San Juan del Sur,NI,1529258400,11.25,-85.87,82.4,83,6.93,75
75,Worthington,US,1529260560,43.62,-95.6,89.6,52,18.34,1
76,Luangwa,ZM,1529261850,-12.88,28.25,64.73,45,8.52,0
77,Akita,JP,1529261851,39.72,140.1,62.48,100,9.75,44
78,Zaragoza,MX,1529261851,19.77,-97.56,64.28,92,1.14,36
79,Broken Hill,AU,1529261540,-31.97,141.45,39.26,95,10.2,0
80,Zhicheng,CN,1529261851,35.04,112.59,75.71,71,5.61,92
81,Kudahuvadhoo,MV,1529261531,2.67,72.89,82.73,100,4.94,76
82,Road Town,VG,1529258400,18.42,-64.62,87.8,70,10.29,40
83,Tabuk,SA,1529258400,28.38,36.58,96.8,8,11.41,0
84,Kuantan,MY,1529258400,3.82,103.33,77.0,94,3.71,75
85,Mayfield,US,1529260500,36.74,-88.64,93.2,55,9.17,75
86,Torbay,CA,1529258400,47.66,-52.73,42.8,86,11.41,90
87,Spokane,US,1529259060,47.66,-117.42,73.4,35,17.22,75
88,Savannah Bight,HN,1529261852,16.45,-85.85,83.44,94,19.15,0
89,Pipri,IN,1529261852,24.21,83.02,81.56,64,5.28,36
90,Bud,NO,1529259600,62.91,6.91,62.6,59,2.24,20
91,Bonnyville,CA,1529258400,54.27,-110.74,73.4,38,8.05,40
92,Karaman,TR,1529261853,37.18,33.22,59.51,95,1.59,92
93,Tilichiki,RU,1529261853,60.47,166.1,42.76,79,3.15,8
94,Hoopstad,ZA,1529261853,-27.83,25.91,54.83,74,11.77,0
95,Labe,GN,1529261597,11.32,-12.28,82.28,61,4.16,64
96,Joshimath,IN,1529261853,30.57,79.57,33.68,100,0.13,88
97,Namie,JP,1529261853,37.52,140.86,61.13,100,7.63,48
98,Vestmanna,FO,1529259600,62.16,-7.17,50.0,87,14.99,92
99,Vao,NC,1529261854,-22.67,167.48,72.91,100,10.87,92
100,Weligama,LK,1529261854,5.97,80.42,76.96,100,13.11,92
101,Castro,CL,1529261854,-42.48,-73.76,53.93,96,10.98,92
102,Zyryanka,RU,1529261854,65.73,150.89,55.36,70,4.16,48
103,Brae,GB,1529259600,60.4,-1.35,55.4,71,10.29,32
104,Muncar,ID,1529261854,-8.43,114.34,76.69,92,4.05,36
105,Lompoc,US,1529260500,34.64,-120.46,62.6,63,10.29,90
106,Carnarvon,AU,1529261876,-24.87,113.63,67.43,100,7.07,100
107,Tshane,BW,1529261876,-24.02,21.87,59.78,31,8.41,0
108,Funchal,PT,1529260200,32.63,-16.9,68.0,64,18.34,20
109,Novobirilyussy,RU,1529261876,56.95,90.69,58.69,86,2.59,32
110,Warrington,US,1529260500,40.25,-75.13,89.6,40,3.6,1
111,Awbari,LY,1529261548,26.59,12.77,94.33,12,10.2,0
112,Grindavik,IS,1529260200,63.84,-22.43,48.2,81,5.82,75
113,Volchikha,RU,1529261877,52.02,80.36,73.54,52,2.82,80
114,Njombe,TZ,1529261877,-9.34,34.77,61.03,63,6.73,20
115,La Romana,DO,1529258400,18.43,-68.97,87.8,74,16.11,40
116,Galesong,ID,1529260200,-5.32,119.37,73.4,88,3.36,20
117,Saint-Pierre,PM,1529258400,46.77,-56.17,50.0,61,14.99,75
118,Romny,RU,1529261877,50.73,129.29,52.93,98,3.15,48
119,Alghero,IT,1529259600,40.56,8.32,71.6,73,5.82,20
120,Ilo,PE,1529261878,-17.65,-71.34,63.83,88,3.38,20
121,Vaini,TO,1529258400,-21.2,-175.2,69.8,83,5.82,75
122,Maua,KE,1529261878,0.23,37.94,63.56,95,3.27,92
123,Srivardhan,IN,1529261878,18.03,73.02,73.63,100,9.86,92
124,Namatanai,PG,1529261568,-3.66,152.44,79.58,100,6.4,24
125,Cabra,PH,1529261878,13.89,120.05,83.81,100,15.79,24
126,Punta Arenas,CL,1529258400,-53.16,-70.91,41.0,80,8.05,0
127,Portland,AU,1529261879,-33.35,149.98,40.69,88,7.63,64
128,Griffith,AU,1529261879,-34.29,146.06,46.63,93,12.77,32
129,Teya,RU,1529261879,60.37,92.63,58.43,79,2.15,0
130,Gua Musang,MY,1529261879,4.88,101.97,74.53,91,1.81,32
131,Kloulklubed,PW,1529257860,7.04,134.26,80.6,83,3.36,90
132,Brownsville,US,1529261520,25.91,-97.49,95.0,52,16.11,1
133,Kaputa,ZM,1529261880,-8.47,29.66,64.09,55,2.82,0
134,Progreso,MX,1529261880,20.25,-99.19,70.76,81,2.93,24
135,Mount Isa,AU,1529258400,-20.73,139.49,51.8,43,11.41,0
136,Borba,BR,1529261880,-4.39,-59.59,79.76,89,2.93,64
137,Ambatofinandrahana,MG,1529261880,-20.55,46.8,53.03,93,2.48,0
138,Tumarbong,PH,1529261880,10.38,119.46,84.16,100,11.77,32
139,Tiarei,PF,1529260200,-17.53,-149.33,80.6,69,13.87,40
140,Dolores,AR,1529261881,-36.31,-57.68,51.68,82,14.45,0
141,Baruun-Urt,MN,1529261881,46.68,113.28,55.09,96,9.86,68
142,Kasongo-Lunda,CD,1529261881,-6.48,16.82,78.13,35,5.06,0
143,Berlevag,NO,1529257800,70.86,29.09,44.6,87,10.29,75
144,Moose Factory,CA,1529260020,51.26,-80.61,73.4,78,8.05,90
145,Springbok,ZA,1529261882,-29.67,17.88,48.43,54,5.95,8
146,Uberaba,BR,1529258400,-19.75,-47.94,78.8,44,4.7,40
147,Kodiak,US,1529257980,39.95,-94.76,93.2,49,16.11,20
148,Adrar,DZ,1529258400,27.87,-0.29,105.8,10,12.75,0
149,Sammamish,US,1529261580,47.61,-122.04,78.8,44,5.82,1
150,Hamilton,BM,1529258100,32.3,-64.78,77.0,69,9.17,75
151,Znamenskoye,RU,1529261882,57.13,73.82,54.01,99,3.83,92
152,Coihaique,CL,1529258400,-45.58,-72.07,44.6,100,5.82,75
153,Wilmington,US,1529260500,39.75,-75.55,89.6,42,4.7,1
154,Montes Altos,BR,1529258400,-5.83,-47.07,95.0,47,7.29,40
155,Ornskoldsvik,SE,1529259600,63.29,18.72,59.0,62,5.82,0
156,Lorengau,PG,1529261883,-2.02,147.27,80.21,100,5.73,36
157,Winder,US,1529260500,33.99,-83.72,89.6,55,4.38,40
158,Busselton,AU,1529261796,-33.64,115.35,59.41,100,21.5,92
159,Ketchikan,US,1529258160,55.34,-131.65,66.2,68,10.29,90
160,Naze,JP,1529261564,28.37,129.48,78.41,98,6.73,100
161,Kenai,US,1529260740,60.55,-151.26,55.4,76,3.36,75
162,Belaya Gora,RU,1529261884,68.54,146.19,53.74,60,9.19,56
163,Pontes e Lacerda,BR,1529261884,-15.23,-59.33,71.21,73,7.96,0
164,Moyale,KE,1529261884,3.52,39.06,68.06,89,4.38,68
165,Dunda,TZ,1529261578,-8.12,34.25,70.48,44,13.67,0
166,Ternate,ID,1529261884,0.8,127.4,82.01,100,6.29,48
167,Bilma,NE,1529261885,18.69,12.92,104.23,10,7.74,100
168,Thinadhoo,MV,1529261885,0.53,72.93,83.63,100,8.63,68
169,Rio de Janeiro,BR,1529258400,-22.91,-43.21,75.2,78,10.29,40
170,Paita,PE,1529258400,-5.09,-81.11,77.0,69,12.75,0
171,Aksu,CN,1529261885,41.12,80.26,52.21,90,2.04,24
172,Bayji,IQ,1529261885,34.93,43.49,94.96,15,7.18,36
173,Pearl Lagoon,NI,1529258400,12.34,-83.67,86.0,79,9.17,40
174,Araouane,ML,1529261573,18.9,-3.53,111.08,8,7.85,0
175,Nuuk,GL,1529257800,64.17,-51.74,42.8,94,5.82,20
176,Nome,US,1529260500,30.04,-94.42,84.2,83,9.17,75
177,Mokhsogollokh,RU,1529261886,61.4,128.95,52.03,100,3.94,100
178,Figline Valdarno,IT,1529259600,43.62,11.47,82.4,42,6.93,0
179,Hovelhof,DE,1529259600,51.82,8.65,66.2,51,9.17,20
180,North Bend,US,1529260500,43.41,-124.22,66.2,63,9.17,1
181,Sunyani,GH,1529261887,7.34,-2.33,79.21,76,13.22,76
182,Manfredonia,IT,1529261887,41.63,15.91,77.78,82,8.08,0
183,Havoysund,NO,1529259600,71.0,24.66,46.4,75,11.41,0
184,Coquimbo,CL,1529258400,-29.95,-71.34,53.6,87,8.05,40
185,Pangkalanbuun,ID,1529261887,-2.68,111.62,77.51,82,5.73,8
186,Pelotas,BR,1529258400,-31.77,-52.34,57.2,67,4.7,40
187,Zlutice,CZ,1529260200,50.09,13.16,66.2,55,9.17,0
188,Yangambi,CD,1529261888,0.77,24.47,82.09,64,3.15,76
189,Iralaya,HN,1529261888,15.0,-83.23,84.61,82,10.76,100
190,Karla,EE,1529259600,59.37,24.93,73.4,53,8.05,0
191,Tofield,CA,1529258400,53.37,-112.67,71.6,35,9.17,20
192,Old Town,US,1529261520,38.98,-76.93,89.6,48,3.36,75
193,Aleksandrov Gay,RU,1529261888,50.14,48.57,66.08,30,8.97,0
194,Aykhal,RU,1529261889,65.95,111.51,52.58,61,4.72,12
195,Cabo San Lucas,MX,1529257620,22.89,-109.91,87.8,51,6.93,5
196,Havelock,US,1529258280,34.88,-76.9,89.6,74,13.87,20
197,Vestmannaeyjar,IS,1529258400,63.44,-20.27,48.2,93,16.11,75
198,Takab,IR,1529261889,36.4,47.11,64.01,27,5.5,0
199,Aloleng,PH,1529261889,16.13,119.78,78.68,100,13.78,88
200,Guarda,PT,1529261648,40.54,-7.27,76.61,70,4.16,0
201,Yucca Valley,US,1529260500,34.12,-116.41,84.2,11,10.29,1
202,Hinton,CA,1529261890,53.4,-117.57,67.43,35,1.59,0
203,Makokou,GA,1529261890,0.56,12.85,78.04,81,3.27,92
204,Shaowu,CN,1529261890,27.34,117.49,65.81,87,1.92,32
205,Bonavista,CA,1529261890,48.65,-53.11,42.31,97,8.86,8
206,Port Moresby,PG,1529258400,-9.47,147.16,77.0,100,4.7,40
207,Simpang,ID,1529261891,4.36,96.17,77.33,100,1.03,92
208,Boguchany,RU,1529261891,58.38,97.46,55.28,86,2.37,0
209,Bambous Virieux,MU,1529258400,-20.34,57.76,75.2,83,6.73,75
210,Cockburn Town,TC,1529261891,21.46,-71.14,81.56,98,9.98,0
211,Pisco,PE,1529258400,-13.71,-76.2,66.2,72,8.05,90
212,Santa Flavia,IT,1529259600,38.09,13.54,71.6,83,6.93,40
213,Yellowknife,CA,1529258400,62.45,-114.38,68.0,45,9.17,75
214,Dolgoye,RU,1529261892,52.06,37.53,69.76,39,6.62,0
215,Plettenberg Bay,ZA,1529261892,-34.05,23.37,62.83,90,4.16,12
216,Ancud,CL,1529261892,-41.87,-73.83,53.93,99,12.77,92
217,Teguise,ES,1529260200,29.06,-13.56,71.6,68,11.41,75
218,Constantine,DZ,1529260200,36.36,6.61,71.6,56,9.17,20
219,Ishigaki,JP,1529261893,24.34,124.16,79.93,100,20.49,88
220,Vilhena,BR,1529258400,-12.74,-60.15,80.6,54,8.05,20
221,Tiksi,RU,1529261893,71.64,128.87,34.39,82,3.94,0
222,Kandrian,PG,1529261893,-6.21,149.55,73.81,100,2.59,36
223,Puerto Colombia,CO,1529258400,10.99,-74.96,89.6,75,11.41,20
224,Kathu,TH,1529258400,7.91,98.33,80.6,78,23.04,75
225,Kapit,MY,1529261894,2.02,112.94,73.91,95,2.48,44
226,Saldanha,ZA,1529258400,-33.01,17.94,57.2,100,16.11,92
227,Faanui,PF,1529261559,-16.48,-151.75,77.96,100,5.61,24
228,Pochutla,MX,1529257500,15.74,-96.47,87.8,45,6.4,75
229,Kangaatsiaq,GL,1529261573,68.31,-53.46,33.41,98,6.62,64
230,Bartica,GY,1529258400,6.41,-58.62,80.6,88,6.93,75
231,Henties Bay,NA,1529261894,-22.12,14.28,56.89,100,5.5,0
232,Bluff,NZ,1529261531,-46.6,168.33,46.28,100,2.71,44
233,Naqadeh,IR,1529261895,36.96,45.39,74.26,90,13.0,0
234,Snezhnogorsk,RU,1529260200,69.19,33.23,53.6,58,6.71,0
235,Tarsus,TR,1529259600,36.92,34.88,77.0,73,6.93,40
236,Necochea,AR,1529261895,-38.55,-58.74,57.98,70,15.35,0
237,Juegang,CN,1529261895,32.31,121.18,71.93,97,10.98,92
238,Harer,ET,1529261790,9.31,42.13,64.36,58,2.82,0
239,Georgetown,SH,1529261895,-7.93,-14.42,77.59,100,15.12,0
240,Zheleznodorozhnyy,RU,1529260200,55.75,38.0,68.0,63,2.24,0
241,Flin Flon,CA,1529258400,54.77,-101.88,73.4,31,9.17,75
242,Valparaiso,CL,1529258400,-33.04,-71.63,59.0,67,3.36,0
243,Lakatoro,VU,1529261896,-16.11,167.42,75.79,93,9.64,88
244,Panzhihua,CN,1529261896,26.59,101.72,62.21,99,1.03,64
245,San Pedro,BZ,1529258400,17.92,-87.97,86.0,79,9.17,75
246,Altamira,BR,1529258400,-3.2,-52.21,87.8,62,2.24,75
247,Socorro,US,1529261460,31.65,-106.3,84.2,26,8.05,20
248,Indramayu,ID,1529261897,-4.05,103.78,70.58,96,2.15,76
249,Jenbach,AT,1529259600,47.39,11.77,71.6,53,8.05,75
250,Santa Maria,CV,1529258400,16.6,-22.9,77.0,57,14.99,75
251,Byron Bay,AU,1529258400,-28.65,153.62,35.6,100,4.7,0
252,Sibi,PK,1529261897,29.55,67.88,90.38,22,6.4,32
253,Mildura,AU,1529261754,-34.18,142.16,42.58,89,10.98,12
254,Gornyy,RU,1529261898,51.76,48.54,62.11,37,5.61,0
255,Mwinilunga,ZM,1529261898,-11.73,24.43,62.74,49,5.17,0
256,Kharp,RU,1529261898,66.82,65.8,51.86,70,8.63,8
257,Port Lincoln,AU,1529261898,-34.72,135.86,53.03,100,5.39,100
258,Gushi,CN,1529261898,32.17,115.65,74.53,78,4.94,48
259,Fillmore,US,1529260500,38.97,-112.32,78.8,22,12.75,40
260,Ilebo,CD,1529261899,-4.33,20.59,83.81,58,0.92,0
261,Tahoua,NE,1529258400,14.89,5.26,93.2,36,13.87,0
262,Itaituba,BR,1529258400,-4.26,-55.99,77.0,88,2.59,20
263,Pakaur,IN,1529261900,24.64,87.92,77.59,92,7.18,24
264,Kroya,ID,1529261900,-6.5,108.06,76.43,84,3.49,80
265,San Carlos de Bariloche,AR,1529258400,-41.13,-71.31,55.4,66,24.16,40
266,Natal,BR,1529258400,-5.81,-35.21,80.6,78,11.41,75
267,Porto Novo,CV,1529258400,17.02,-25.06,78.8,54,16.11,20
268,Sungaipenuh,ID,1529261531,-2.08,101.38,66.16,98,1.48,68
269,Constitucion,MX,1529257560,23.99,-104.67,78.8,39,8.05,75
270,Teeli,RU,1529261901,51.01,90.2,43.93,69,2.15,0
271,Manacapuru,BR,1529261901,-3.3,-60.62,78.76,89,3.38,80
272,Guerrero Negro,MX,1529261563,27.97,-114.04,68.33,71,9.75,0
273,Butaritari,KI,1529261572,3.07,172.79,80.29,100,2.93,76
274,Severo-Kurilsk,RU,1529261556,50.68,156.12,36.28,100,4.16,32
275,Fairbanks,US,1529260380,64.84,-147.72,62.6,77,3.36,90
276,Guilin,CN,1529258400,25.28,110.29,77.0,94,4.47,0
277,Condado,CU,1529257860,21.88,-79.84,91.4,52,8.05,75
278,Hartford,US,1529260500,41.76,-72.69,87.8,30,8.05,1
279,Jacareacanga,BR,1529261901,-6.22,-57.76,85.88,67,3.83,12
280,Mongo,TD,1529261902,12.18,18.69,84.53,57,5.84,32
281,Nishihara,JP,1529258400,35.74,139.53,68.0,87,2.93,90
282,Emmett,US,1529260920,43.87,-116.5,60.8,93,9.17,90
283,Pevek,RU,1529261537,69.7,170.27,38.63,79,3.94,0
284,Sao Filipe,CV,1529261576,14.9,-24.5,73.46,96,12.66,12
285,Kuki,JP,1529258400,36.07,139.65,68.0,87,2.93,90
286,Zima,RU,1529261902,53.93,102.05,51.04,85,2.15,0
287,Sobolevo,RU,1529261902,54.43,31.9,69.13,74,6.96,44
288,Husavik,IS,1529258400,66.04,-17.34,50.0,81,13.87,75
289,Uyuni,BO,1529261903,-20.46,-66.82,52.93,25,11.77,0
